workload_shape,threshold,n,n_failed,ttft_median,ttft_mean,ttft_sd,ttft_p95,ttft_min,ttft_max,recomputed_tokens_median,chosen_similarity_median
high_prefix_reuse,0.1,3,0,2359.5,2277.7,221.2,2437.7,2027.2,2446.4,220,0.716
high_prefix_reuse,0.3,3,0,1995.1,2035.7,81.4,2116.0,1982.6,2129.4,220,0.716
high_prefix_reuse,0.5,3,0,1989.8,1980.1,80.4,2048.7,1895.3,2055.3,220,0.716
high_prefix_reuse,0.7,3,0,1933.5,1958.3,64.3,2021.5,1910.0,2031.3,181,0.7965
high_prefix_reuse,0.8,3,0,399.0,404.4,12.5,416.7,395.5,418.6,45,0.955
high_prefix_reuse,0.9,3,0,484.6,461.7,40.0,484.8,415.5,484.9,35,0.955
high_prefix_reuse,0.95,3,0,447.6,447.3,14.8,460.6,432.4,462.0,35,0.9625
low_prefix_reuse,0.05,0,0,,,,,,,25,0.121
low_prefix_reuse,0.1,0,0,,,,,,,25,0.121
low_prefix_reuse,0.2,0,0,,,,,,,25,0.953
low_prefix_reuse,0.3,0,0,,,,,,,25,0.952
